user_id,recomendations
1,"[874972, 962568, 965766, 961554, 1004906]"
2,"[874972, 951412, 1026118, 951590, 1133018]"
3,"[874972, 1133018, 908531, 13842214, 989069]"
4,"[874972, 1029743, 1082185, 1127831, 951590]"
5,"[874972, 1082185, 1106523, 1127831, 951590]"
6,"[874972, 1137688, 852856, 995242, 986912]"
7,"[874972, 1133018, 990797, 1082185, 961554]"
8,"[874972, 1062002, 909714, 1029743, 1082185]"
9,"[874972, 995242, 883404, 1029743, 1082185]"
10,"[874972, 1106523, 986912, 1029743, 1082185]"
11,"[874972, 1029743, 1082185, 1127831, 951590]"
12,"[874972, 1029743, 1127831, 1082185, 951590]"
13,"[874972, 8090539, 12427353, 951590, 1029743]"
14,"[9835223, 844179, 5568378, 951590, 1029743]"
15,"[874972, 1098844, 1127179, 1070820, 901666]"
16,"[874972, 12263788, 1029743, 1082185, 1106523]"
17,"[874972, 951590, 981760, 1029743, 1082185]"
18,"[874972, 5568729, 826249, 866211, 840361]"
19,"[874972, 1003188, 979707, 962229, 965766]"
20,"[874972, 897954, 883404, 1126899, 1075368]"
21,"[874972, 995242, 947798, 834117, 1042907]"
22,"[874972, 859427, 992986, 1070820, 1082185]"
23,"[874972, 12648296, 1029743, 1082185, 1106523]"
24,"[874972, 1082185, 866211, 1106523, 1096036]"
25,"[874972, 1133018, 1043751, 8090521, 844179]"
26,"[874972, 1081177, 1081189, 990797, 1106301]"
27,"[874972, 1082185, 986912, 1002558, 1077555]"
28,"[948670, 878996, 1119051, 921836, 943233]"
29,"[874972, 1029743, 1082185, 1106523, 1127831]"
30,"[874972, 995242, 1029743, 1082185, 1106523]"
31,"[874972, 1082185, 961554, 1070820, 5569230]"
32,"[874972, 1058997, 981760, 1009449, 992986]"
33,"[836445, 1081177, 1106301, 871756, 5590613]"
34,"[874972, 1101010, 856772, 993638, 1044805]"
35,"[874972, 1053690, 1029743, 1082185, 1106523]"
36,"[874972, 901062, 962568, 1029743, 962229]"
37,"[874972, 1122358, 1067695, 1029743, 1082185]"
38,"[874972, 1029743, 1127831, 1082185, 951590]"
39,"[874972, 893018, 8090440, 6602697, 1127716]"
40,"[874972, 1135476, 825365, 995242, 1082185]"
41,"[874972, 845307, 1082185, 5585510, 909714]"
42,"[874972, 1029743, 965766, 1082185, 981760]"
43,"[874972, 1095068, 1029743, 1082185, 1106523]"
44,"[874972, 1082185, 1106523, 1127831, 951590]"
45,"[874972, 1029743, 1082185, 1127831, 951590]"
46,"[836445, 5568721, 1130763, 1029743, 1082185]"
47,"[874972, 1040935, 1029743, 1082185, 1106523]"
48,"[874972, 1029743, 1082185, 1127831, 951590]"
49,"[1000753, 908531, 1058997, 916122, 840361]"
50,"[874972, 1029743, 962229, 908531, 965766]"
51,"[874972, 1088147, 1029743, 1082185, 981760]"
52,"[874972, 843346, 1074524, 1106523, 5569230]"
53,"[874972, 1082185, 859427, 5569471, 844179]"
54,"[874972, 1029743, 1082185, 1127831, 951590]"
55,"[874972, 1082185, 899624, 995242, 844165]"
56,"[848029, 1082185, 6034857, 1058997, 5569230]"
57,"[874972, 979707, 1065593, 965766, 854852]"
58,"[874972, 979707, 10457044, 1070820, 1082185]"
59,"[874972, 833025, 1077555, 1133018, 899624]"
60,"[874972, 1029743, 1082185, 1127831, 951590]"
61,"[874972, 1029743, 1082185, 1127831, 951590]"
62,"[874972, 1029743, 1082185, 1106523, 1127831]"
63,"[874972, 847344, 1029743, 1082185, 1106523]"
64,"[982469, 909894, 996425, 1004906, 1138189]"
65,"[874972, 5568378, 986912, 965766, 1029743]"
66,"[874972, 1082185, 1106523, 1127831, 951590]"
67,"[12810391, 926905, 1082185, 1133018, 951590]"
68,"[874972, 941741, 951590, 1044078, 947798]"
69,"[874972, 990656, 826249, 951590, 1106523]"
70,"[874972, 1039156, 1029743, 1082185, 1106523]"
71,"[874972, 1082185, 965766, 995242, 916122]"
72,"[874972, 1029743, 1082185, 1106523, 1127831]"
73,"[874972, 1029743, 951590, 1082185, 1127831]"
74,"[874972, 1029743, 1082185, 1127831, 951590]"
75,"[874972, 1029743, 1082185, 1106523, 1127831]"
76,"[874972, 1029743, 1082185, 1127831, 951590]"
77,"[874972, 5569327, 1002558, 1106523, 1082185]"
78,"[874972, 1082185, 923746, 9420312, 1084331]"
79,"[874972, 871756, 15926886, 862349, 1053690]"
80,"[874972, 898212, 1130458, 986912, 901062]"
81,"[874972, 916381, 995242, 1029743, 1082185]"
82,"[874972, 929726, 1119761, 1029743, 1082185]"
83,"[874972, 1075214, 840361, 1029743, 1082185]"
84,"[874972, 830887, 1029743, 1082185, 1106523]"
85,"[874972, 859075, 921744, 840361, 1079987]"
86,"[874972, 971922, 1106523, 951590, 1101010]"
87,"[874972, 1029743, 1082185, 1106523, 1127831]"
88,"[874972, 1070820, 840361, 1096036, 8090521]"
89,"[874972, 1029743, 951590, 1082185, 1127831]"
90,"[874972, 1082185, 1003188, 1070820, 1041796]"
91,"[874972, 1029743, 1088147, 873203, 845622]"
92,"[874972, 880150, 900802, 5568721, 1029743]"
93,"[874972, 1029743, 1082185, 1127831, 951590]"
94,"[874972, 1082185, 878996, 866211, 840361]"
95,"[874972, 833025, 979707, 995242, 1082185]"
96,"[874972, 951590, 995242, 1082185, 1127831]"
97,"[874972, 1082185, 961554, 995242, 1075368]"
98,"[874972, 1058997, 1061220, 866211, 921836]"
99,"[874972, 940947, 964968, 995242, 1096036]"
100,"[874972, 12810393, 907631, 985999, 931671]"
101,"[874972, 1082185, 862349, 8090521, 916122]"
102,"[874972, 1029743, 1082185, 1127831, 951590]"
103,"[874972, 1029743, 1082185, 1106523, 1127831]"
104,"[874972, 6034857, 1043751, 965766, 961554]"
105,"[874972, 879755, 1122568, 1082185, 923746]"
106,"[874972, 916122, 844179, 8090521, 962568]"
107,"[874972, 1037840, 916381, 1029743, 1082185]"
108,"[874972, 1106523, 951590, 1082185, 1127831]"
109,"[874972, 1082185, 824005, 916122, 908531]"
110,"[874972, 9836460, 8019716, 951590, 1106523]"
111,"[874972, 8090536, 12811532, 1029743, 1082185]"
112,"[874972, 1029743, 1082185, 1106523, 1127831]"
113,"[874972, 9836460, 893501, 1070820, 878996]"
114,"[874972, 1044078, 8019716, 1029743, 5568489]"
115,"[947858, 1133018, 913785, 981760, 908531]"
116,"[874972, 923746, 1037863, 1029743, 1082185]"
117,"[874972, 1069621, 9420312, 962229, 995242]"
118,"[874972, 1058997, 1082185, 845208, 893018]"
119,"[874972, 1082185, 962568, 995242, 940947]"
120,"[874972, 1029743, 1082185, 1127831, 951590]"
121,"[874972, 8090537, 835098, 840361, 856060]"
122,"[874972, 1035676, 1029743, 1082185, 1106523]"
123,"[874972, 8090509, 826249, 1029743, 981760]"
124,"[874972, 844179, 12263788, 833025, 1035676]"
125,"[874972, 916122, 866211, 995242, 8090521]"
126,"[874972, 1019247, 898068, 962185, 1029743]"
127,"[874972, 5568378, 5585510, 995242, 1075368]"
128,"[874972, 901062, 840361, 1029743, 1082185]"
129,"[874972, 1106523, 951590, 1082185, 1127831]"
